date,state,admin_janssen_diff,admin_moderna_diff,admin_pfizer_diff,admin_unk_diff
2021-01-01,CA,0.0,0.0,0.0,0.0
2021-01-01,FL,0.0,0.0,0.0,0.0
2021-01-01,IL,0.0,0.0,0.0,0.0
2021-01-01,NY,0.0,0.0,0.0,0.0
2021-02-01,CA,0.0,1539751.0,1539036.0,0.0
2021-02-01,FL,0.0,867328.0,898940.0,1301.0
2021-02-01,IL,0.0,415968.0,474188.0,185.0
2021-02-01,NY,0.0,861108.0,837858.0,200.0
2021-03-01,CA,352.0,2859867.0,2792564.0,10.0
2021-03-01,FL,0.0,1537425.0,1501240.0,3917.0
2021-03-01,IL,0.0,958915.0,892001.0,825.0
2021-03-01,NY,0.0,1310516.0,1117118.0,245.0
2021-04-01,CA,370149.0,4269462.0,4856850.0,1626.0
2021-04-01,FL,242259.0,2104044.0,2379069.0,8407.0
2021-04-01,IL,128349.0,1410282.0,1626525.0,1708.0
2021-04-01,NY,216370.0,2056040.0,2764718.0,812.0
2021-05-01,CA,731072.0,4850227.0,6633513.0,1859.0
2021-05-01,FL,312882.0,2119002.0,3262918.0,11564.0
2021-05-01,IL,183659.0,1257608.0,2034106.0,2477.0
2021-05-01,NY,386725.0,2509322.0,3567394.0,1674.0
2021-06-01,CA,255978.0,2625843.0,4768392.0,1681.0
2021-06-01,FL,261220.0,1198238.0,1862554.0,11180.0
2021-06-01,IL,82759.0,704081.0,1360702.0,2658.0
2021-06-01,NY,224941.0,1332360.0,2290258.0,1220.0
2021-07-01,CA,198595.0,1147495.0,2951158.0,1708.0
2021-07-01,FL,195740.0,554288.0,1529461.0,12304.0
2021-07-01,IL,61836.0,341640.0,894424.0,2663.0
2021-07-01,NY,120755.0,591930.0,1430009.0,952.0
2021-08-01,CA,115222.0,680467.0,1705282.0,1791.0
2021-08-01,FL,97267.0,360424.0,1038927.0,16986.0
2021-08-01,IL,32683.0,145697.0,498166.0,4297.0
2021-08-01,NY,64769.0,296836.0,783841.0,1371.0
2021-09-01,CA,106021.0,702586.0,2022994.0,3802.0
2021-09-01,FL,60293.0,696581.0,1579815.0,14158.0
2021-09-01,IL,41461.0,169286.0,771568.0,2584.0
2021-09-01,NY,58745.0,316637.0,1054236.0,1424.0
2021-10-01,CA,81557.0,668299.0,1858195.0,768.0
2021-10-01,FL,35483.0,543660.0,1267819.0,13564.0
2021-10-01,IL,20101.0,138630.0,519956.0,2203.0
2021-10-01,NY,54984.0,338420.0,1139914.0,1455.0
2021-11-01,CA,85671.0,939535.0,2693022.0,1348.0
2021-11-01,FL,44977.0,523555.0,1244225.0,11243.0
2021-11-01,IL,15536.0,241753.0,665108.0,-311.0
2021-11-01,NY,52557.0,395012.0,1263019.0,1325.0
2021-12-01,CA,139626.0,2299734.0,2889859.0,636.0
2021-12-01,FL,79019.0,1030470.0,1237659.0,7871.0
2021-12-01,IL,46635.0,720582.0,944435.0,5176.0
2021-12-01,NY,65715.0,955656.0,1328089.0,1127.0
2022-01-01,CA,120769.0,2459492.0,3883027.0,777.0
2022-01-01,FL,67534.0,961112.0,1685045.0,7285.0
2022-01-01,IL,33983.0,635836.0,1179729.0,1844.0
2022-01-01,NY,102809.0,1607181.0,2765387.0,3935.0
2022-02-01,CA,31643.0,1021664.0,2054707.0,-1485.0
2022-02-01,FL,36748.0,525365.0,1092888.0,6855.0
2022-02-01,IL,22980.0,460405.0,995726.0,1545.0
2022-02-01,NY,43500.0,715648.0,1477651.0,2084.0
2022-03-01,CA,40607.0,624395.0,1589091.0,818.0
2022-03-01,FL,23281.0,224731.0,488597.0,5941.0
2022-03-01,IL,3714.0,69746.0,393336.0,1093.0
2022-03-01,NY,25211.0,323256.0,789996.0,1778.0
